ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,13.98231,1.4884500730885597,41.7287912569704,13.98231,13.98231,8.0472164463552,8.0472164463552,8.0472164463552,3.9684184,3.9684184,3.9684184,4.078798046355199,4.078798046355199,4.078798046355199,0.0,0.0,0.0,22.0295264463552
2025-01-02,14.05418927777778,-4.291718159952976,37.37748191590595,14.05418927777778,14.05418927777778,2.315360799997336,2.315360799997336,2.315360799997336,3.9684184,3.9684184,3.9684184,-1.653057600002664,-1.653057600002664,-1.653057600002664,0.0,0.0,0.0,16.369550077775116
2025-01-03,14.126068555555555,-1.2104314164116439,38.91595770620268,14.126068555555555,14.126068555555555,4.519047650640711,4.519047650640711,4.519047650640711,3.9684184,3.9684184,3.9684184,0.5506292506407099,0.5506292506407099,0.5506292506407099,0.0,0.0,0.0,18.645116206196267
2025-01-04,14.197947833333336,-0.4167657593764359,39.596397815647364,14.197947833333336,14.197947833333336,4.4114507519039945,4.4114507519039945,4.4114507519039945,3.9684184,3.9684184,3.9684184,0.44303235190399404,0.44303235190399404,0.44303235190399404,0.0,0.0,0.0,18.60939858523733
2025-01-05,14.26982711111111,-1.3779499871214882,39.044978954190775,14.26982711111111,14.26982711111111,4.9588481420712975,4.9588481420712975,4.9588481420712975,3.9684184,3.9684184,3.9684184,0.9904297420712975,0.9904297420712975,0.9904297420712975,0.0,0.0,0.0,19.22867525318241
2025-01-06,14.341706388888891,-6.27885234133384,35.73025774356038,14.341706388888891,14.341706388888891,0.6910706065116261,0.6910706065116261,0.6910706065116261,3.9684184,3.9684184,3.9684184,-3.277347793488374,-3.277347793488374,-3.277347793488374,0.0,0.0,0.0,15.032776995400518
2025-01-07,14.413585666666666,-2.7250661599494106,39.06941303489212,14.413585666666666,14.413585666666666,2.835934402526503,2.835934402526503,2.835934402526503,3.9684184,3.9684184,3.9684184,-1.1324839974734968,-1.1324839974734968,-1.1324839974734968,0.0,0.0,0.0,17.24952006919317
2025-01-08,14.48546494302355,1.9184163268550856,43.364945583309094,14.48546494302355,14.48546494302355,8.047216446357309,8.047216446357309,8.047216446357309,3.9684184,3.9684184,3.9684184,4.078798046357308,4.078798046357308,4.078798046357308,0.0,0.0,0.0,22.53268138938086
2025-01-09,14.55734421938043,-3.589727740680531,36.110927515389214,14.55734421938043,14.55734421938043,2.3153608000088317,2.3153608000088317,2.3153608000088317,3.9684184,3.9684184,3.9684184,-1.6530575999911687,-1.6530575999911687,-1.6530575999911687,0.0,0.0,0.0,16.87270501938926
2025-01-10,14.629223495737312,-0.8996514392621824,39.30947861728643,14.629223495737312,14.629223495737312,4.519047650644165,4.519047650644165,4.519047650644165,3.9684184,3.9684184,3.9684184,0.5506292506441648,0.5506292506441648,0.5506292506441648,0.0,0.0,0.0,19.148271146381475
2025-01-11,14.701102772094192,-0.5346676864651806,38.55416060854488,14.701102772094192,14.701102772094192,4.411450751899487,4.411450751899487,4.411450751899487,3.9684184,3.9684184,3.9684184,0.44303235189948686,0.44303235189948686,0.44303235189948686,0.0,0.0,0.0,19.11255352399368
2025-01-12,14.772982048451073,0.3786529024531011,38.46874909605872,14.772982048451073,14.772982048451073,4.95884814206562,4.95884814206562,4.95884814206562,3.9684184,3.9684184,3.9684184,0.9904297420656201,0.9904297420656201,0.9904297420656201,0.0,0.0,0.0,19.731830190516693
2025-01-13,14.844861320196088,-5.549742719424421,37.25869350221059,14.844861320196088,14.844861320196088,0.691070606501582,0.691070606501582,0.691070606501582,3.9684184,3.9684184,3.9684184,-3.277347793498418,-3.277347793498418,-3.277347793498418,0.0,0.0,0.0,15.53593192669767
2025-01-14,14.916740591941105,-2.466723886126085,38.84966382405743,14.916740591941105,14.916740591941105,2.8359344025388307,2.8359344025388307,2.8359344025388307,3.9684184,3.9684184,3.9684184,-1.1324839974611693,-1.1324839974611693,-1.1324839974611693,0.0,0.0,0.0,17.752674994479936
2025-01-15,14.988619863686122,2.13584287626056,43.84485749148373,14.988619863686122,14.988619863686122,8.047216446359009,8.047216446359009,8.047216446359009,3.9684184,3.9684184,3.9684184,4.078798046359011,4.078798046359011,4.078798046359011,0.0,0.0,0.0,23.03583631004513
2025-01-16,15.060499135431138,-1.0931642823332193,39.05383977779585,15.060499135431138,15.060499135431138,2.315360800008379,2.315360800008379,2.315360800008379,3.9684184,3.9684184,3.9684184,-1.653057599991621,-1.653057599991621,-1.653057599991621,0.0,0.0,0.0,17.375859935439518
2025-01-17,15.132378407176153,-2.94570430617975,38.85892114207957,15.132378407176153,15.132378407176153,4.519047650642495,4.519047650642495,4.519047650642495,3.9684184,3.9684184,3.9684184,0.5506292506424944,0.5506292506424944,0.5506292506424944,0.0,0.0,0.0,19.651426057818647
